,Zeit,Temperatur,Druck,Luftfeuchtigkeit
288,2020/02/29 - 09:23:30,19.5,990.0,36.9
289,2020/02/29 - 09:23:35,19.4,990.0,36.9
290,2020/02/29 - 09:23:40,19.4,990.0,37.0
291,2020/02/29 - 09:23:45,19.4,990.0,37.0
292,2020/02/29 - 09:23:50,19.4,990.0,37.1
293,2020/02/29 - 09:23:55,19.4,990.0,37.2
294,2020/02/29 - 09:24:00,19.3,990.0,37.3
295,2020/02/29 - 09:24:05,19.3,990.0,37.4
296,2020/02/29 - 09:24:10,19.3,990.0,37.4
297,2020/02/29 - 09:24:15,19.3,990.0,37.4
298,2020/02/29 - 09:24:20,19.2,990.0,37.5
299,2020/02/29 - 09:24:25,19.2,990.0,37.6
300,2020/02/29 - 09:24:30,19.2,990.0,37.7
301,2020/02/29 - 09:24:35,19.1,990.0,37.8
302,2020/02/29 - 09:24:40,19.1,990.0,37.8
303,2020/02/29 - 09:24:45,19.1,990.0,38.0
304,2020/02/29 - 09:24:50,19.1,990.0,38.1
305,2020/02/29 - 09:24:55,19.1,990.0,38.1
306,2020/02/29 - 09:25:00,19.1,990.0,38.0
307,2020/02/29 - 09:25:05,19.0,990.0,38.1
308,2020/02/29 - 09:25:10,19.0,990.0,38.0
309,2020/02/29 - 09:25:15,19.0,990.0,38.1
310,2020/02/29 - 09:25:20,19.0,990.0,38.1
311,2020/02/29 - 09:25:25,19.0,990.0,38.2
312,2020/02/29 - 09:25:30,19.0,990.0,38.1
313,2020/02/29 - 09:25:35,19.0,990.0,38.2
314,2020/02/29 - 09:25:40,19.0,990.0,38.3
315,2020/02/29 - 09:25:45,18.9,990.0,38.3
316,2020/02/29 - 09:25:50,18.8,990.0,38.7
317,2020/02/29 - 09:25:55,18.9,990.0,38.7
318,2020/02/29 - 09:26:00,18.8,990.0,38.7
319,2020/02/29 - 09:26:05,18.9,990.0,38.7
320,2020/02/29 - 09:26:10,18.9,990.0,38.6
321,2020/02/29 - 09:26:15,18.9,990.0,38.6
322,2020/02/29 - 09:26:20,18.9,990.0,38.6
323,2020/02/29 - 09:26:25,18.9,990.0,38.7
324,2020/02/29 - 09:26:30,18.9,990.0,38.7
325,2020/02/29 - 09:26:35,18.9,990.0,38.6
326,2020/02/29 - 09:26:40,18.9,990.0,38.6
327,2020/02/29 - 09:26:45,18.9,990.0,38.6
328,2020/02/29 - 09:26:50,18.9,990.0,38.6
329,2020/02/29 - 09:26:55,18.9,990.0,38.6
330,2020/02/29 - 09:27:00,18.9,990.0,38.6
331,2020/02/29 - 09:27:05,18.9,990.0,38.6
332,2020/02/29 - 09:27:10,18.9,990.0,38.6
333,2020/02/29 - 09:27:15,18.9,990.0,38.6
334,2020/02/29 - 09:27:20,18.9,990.0,38.6
335,2020/02/29 - 09:27:25,18.9,990.0,38.5
336,2020/02/29 - 09:27:30,18.8,990.0,38.7
337,2020/02/29 - 09:27:35,18.6,990.0,39.1
338,2020/02/29 - 09:27:40,18.6,990.0,39.2
339,2020/02/29 - 09:27:45,18.7,990.0,39.1
340,2020/02/29 - 09:27:50,18.7,990.0,39.2
341,2020/02/29 - 09:27:55,18.5,990.0,39.4
342,2020/02/29 - 09:28:00,18.6,990.0,39.5
343,2020/02/29 - 09:28:05,18.6,990.0,39.3
344,2020/02/29 - 09:28:10,18.6,990.0,39.3
345,2020/02/29 - 09:28:15,18.7,990.0,39.3
346,2020/02/29 - 09:28:20,18.6,990.0,39.3
347,2020/02/29 - 09:28:25,18.7,990.0,39.2
348,2020/02/29 - 09:28:30,18.7,990.0,39.2
349,2020/02/29 - 09:28:35,18.7,990.0,39.1
350,2020/02/29 - 09:28:40,18.7,990.0,39.2
351,2020/02/29 - 09:28:45,18.7,990.0,39.2
352,2020/02/29 - 09:28:50,18.7,990.0,39.2
353,2020/02/29 - 09:28:55,18.7,990.0,39.2
354,2020/02/29 - 09:29:00,18.4,990.0,39.6
355,2020/02/29 - 09:29:05,18.4,990.0,39.8
356,2020/02/29 - 09:29:10,18.4,990.0,39.8
357,2020/02/29 - 09:29:15,18.5,990.0,39.7
358,2020/02/29 - 09:29:20,18.6,990.0,39.6
359,2020/02/29 - 09:29:25,18.6,990.0,39.5
360,2020/02/29 - 09:29:30,18.6,990.0,39.4
361,2020/02/29 - 09:29:35,18.5,990.0,39.7
362,2020/02/29 - 09:29:40,18.5,990.0,39.7
363,2020/02/29 - 09:29:45,18.4,990.0,39.9
364,2020/02/29 - 09:29:50,18.4,990.0,40.1
365,2020/02/29 - 09:29:55,18.5,990.0,40.1
366,2020/02/29 - 09:30:00,18.4,990.0,40.3
367,2020/02/29 - 09:30:05,18.5,990.0,40.3
368,2020/02/29 - 09:30:10,18.5,990.0,40.3
369,2020/02/29 - 09:30:15,18.4,990.0,40.4
370,2020/02/29 - 09:30:20,18.4,990.0,40.7
371,2020/02/29 - 09:30:25,18.5,990.0,40.6
372,2020/02/29 - 09:30:30,18.5,990.0,40.6
373,2020/02/29 - 09:30:35,18.5,990.0,40.6
374,2020/02/29 - 09:30:40,18.6,990.0,40.8
375,2020/02/29 - 09:30:45,18.6,990.0,40.8
376,2020/02/29 - 09:30:50,18.7,990.0,40.7
377,2020/02/29 - 09:30:55,18.6,990.0,40.6
378,2020/02/29 - 09:31:00,18.7,990.0,40.9
379,2020/02/29 - 09:31:05,18.7,990.0,40.9
380,2020/02/29 - 09:31:10,18.8,990.0,40.7
381,2020/02/29 - 09:31:15,18.8,990.0,40.7
382,2020/02/29 - 09:31:20,18.8,990.0,40.6
383,2020/02/29 - 09:31:25,18.9,990.0,40.6
384,2020/02/29 - 09:31:30,18.9,990.0,40.5
385,2020/02/29 - 09:31:35,18.9,990.0,40.4
386,2020/02/29 - 09:31:40,18.9,990.0,40.5
387,2020/02/29 - 09:31:45,18.9,990.0,40.5
388,2020/02/29 - 09:31:50,18.9,990.0,40.4
389,2020/02/29 - 09:31:55,18.9,990.0,40.4
390,2020/02/29 - 09:32:00,18.9,990.0,40.3
391,2020/02/29 - 09:32:05,18.9,990.0,40.3
392,2020/02/29 - 09:32:10,18.9,990.0,40.2
393,2020/02/29 - 09:32:15,18.9,990.0,40.3
394,2020/02/29 - 09:32:20,18.9,990.0,40.2
395,2020/02/29 - 09:32:25,19.0,990.0,40.3
396,2020/02/29 - 09:32:30,19.0,990.0,40.4
397,2020/02/29 - 09:32:35,19.0,990.0,40.5
398,2020/02/29 - 09:32:40,19.0,990.0,40.5
399,2020/02/29 - 09:32:45,18.9,990.0,40.4
400,2020/02/29 - 09:32:50,18.9,990.0,40.5
401,2020/02/29 - 09:32:55,18.9,990.0,40.5
402,2020/02/29 - 09:33:00,18.9,990.0,40.4
403,2020/02/29 - 09:33:05,19.0,990.0,40.4
404,2020/02/29 - 09:33:10,18.9,990.0,40.3
405,2020/02/29 - 09:33:15,18.9,990.0,40.3
406,2020/02/29 - 09:33:20,18.8,990.0,40.4
407,2020/02/29 - 09:33:25,18.8,990.0,40.6
408,2020/02/29 - 09:33:30,18.8,990.0,40.7
409,2020/02/29 - 09:33:35,18.8,990.0,40.7
410,2020/02/29 - 09:33:40,18.8,990.0,41.0
411,2020/02/29 - 09:33:45,18.7,990.0,41.4
412,2020/02/29 - 09:33:50,18.8,990.0,41.3
413,2020/02/29 - 09:33:55,18.8,990.0,41.2
414,2020/02/29 - 09:34:00,18.8,990.0,41.0
415,2020/02/29 - 09:34:05,18.8,990.0,41.0
416,2020/02/29 - 09:34:10,18.8,990.0,41.0
417,2020/02/29 - 09:34:15,18.8,990.0,41.0
418,2020/02/29 - 09:34:20,18.7,990.0,40.9
419,2020/02/29 - 09:34:25,18.7,990.0,41.0
420,2020/02/29 - 09:34:30,18.7,990.0,41.0
421,2020/02/29 - 09:34:35,18.6,990.0,41.2
422,2020/02/29 - 09:34:40,18.6,990.0,41.2
423,2020/02/29 - 09:34:45,18.6,990.0,41.2
424,2020/02/29 - 09:34:50,18.6,990.0,41.2
425,2020/02/29 - 09:34:55,18.6,990.0,41.2
426,2020/02/29 - 09:35:00,18.6,990.0,41.2
427,2020/02/29 - 09:35:05,18.6,990.0,41.3
